＃,Japanese,English,French,German
3690,主ヒューズ［交直流電気車の］,main fuse,coupe-circuit principal (m),Hauptsicherung (f)
3691,シュプール方式［電子連動装置の］,spur,"derivation (f), ligne en derivation (f)",Abzweigleitung (f)
3692,主平滑リアクトル［電気車の］,main smoothing reactor,"bobine de lissage principale (f), bobine de filtrage principale (f), self de lissage principal (m), self de filtrage principal (m)",Hauptglattungsdrossel (f)
3693,主変圧器,traction transformer,transformateur principal (m),"Transformator (m), Leistungstransformator (m), Leistungswandler (m)"
3694,主変換装置［主電動機の］,main traction converter,convertisseur de puissance principal (m),Hauptleistungsumformer (m)
3695,主変成器［直流電気鉄道の］,rectifier and transformer,redresseur-transformateur (m),"Gleichrichter-Transformator (m), Gleichrichter-Trafo (m)"
3696,シュミットハンマー［コンクリートの］,"Schmidt concrete test hammer, Schmidt concrete hammer",marteau d’essai des betons de Schmidt (m),"Schmidt Prufens-Hammer (m), Schmidt Betonhammer (m)"
3697,寿命［構造物の］,service life,"duree utile (f), duree de vie (f), vie utile (f), vie (f)","Nutzungsdauer (f), Lebensdauer (f)"
3698,寿命［潤滑油・グリースの］,"life, lifetime, operating life, service life","duree de vie (f), duree de vie de service (f), longevite (f)",Lebensdauer (f)
3699,寿命［転がり軸受の］,life,"vie de service (f), longevite (f)",Lebensdauer (f)
3700,寿命［蓄電媒体の］,"life, lifetime","duree utile (f), duree de vie (f)","Lebensdauer (f), Nutzungsdauer (f)"
3701,寿命［電子機器の］,"life, lifetime","duree utile (f), duree de vie (f)","Lebensdauer (f), Nutzungsdauer (f)"
3702,主要諸元［車両の］,specifications,specifications techniques (fpl),"Beschreibung (f), Spezifikation (f)"
3703,需要想定,demand assumption,estimation de la demande (f),Nachfrageannahme (f)
3704,主要動［地震の］,principal motion,secousse principale (f),Hauptbewegung (f)
3705,主要部材［構造物の］,primary members,entretoises de chassis primaires (f),primare Streben (pl)
3706,需要予測［交通量の］,demand forecasting,prevision de la demande (f),Nachfrageprognose (f)
3707,シュリーレン式,Schlieren type,guide strioscopique (m),Schlieren-Typ (m)
3708,ジュール・トムソン回路,"Joule-Thomson cycle, J-T cycle",cycle Joule-Thomson (m),Joule-Thomson-Zyklus (m)
3709,ジュール・トムソン弁［冷凍機の］,"Joule-Thomson valve, J-T valve",valve Joule-Thomson (f),"Joule-Thomson-Ventil (n), J-T Ventil (n)"
3710,主レール［分岐器の］,running rail,rail principal (m),Fahrschiene (f)
3711,巡回検査［線路の］,"track patrol, round inspection",patrouille d’inspection des voies (f),"zyklischer Patrouille (f), runde Inspektion (f)"
3712,純荷重,"payload, net weight","charge utile (f), charge nette (f)","Ladegewicht (n), Nettogewicht (n)"
3713,潤滑油添加剤,lubricating oil additive,"additif pour huile de graissage (m), additif pour huile lubrifiante (m)","Schmierolzusatzstoff (m), Schmierolzusatzmittel (n)"
3714,瞬間風速,instantaneous wind speed,vitesse du vent instantane (f),Augenblickswindgeschwindigkeit (f)
3715,瞬間摩擦係数［制輪子の］,instantaneous friction coefficient,coefficient de frottement instantane (m),unverzuglicher Reibungsbeiwert (m)
3716,準固定スラブ,partially fixed slab,dalle fixee partiellement (f),teilgefestigte Abdeckplatte (f)
3717,順次加圧式［電気指令式ブレーキの］,sequence adder code command,type pressurisation sequentielle (m),Reihenfolge-Addierer-Code- Befehl (m)
3718,瞬時空間ベクトル制御［インバーターの］,instantaneous spatial vector control,controle de vecteur spatial instantane (m),verzogerungsfreie raumliche Vektorregelung (f)
3719,瞬時値制御［電力変換装置の］,instantaneous value control,reglage immediat (m),verzogerungsfreie Regelung (f)
3720,順序変更,change of departure order,changement de l’ordre de depart (m),Anderung der Abfahrtreihenfolge (f)
3721,純スパン［はり・スラブの］,clear span,"portee libre (f), ouverture libre (f)","lichte Weite (f), freitragende Spannweite (f)"
3722,純電気ブレーキ,pure electric brake,frein electrique pur (m),rein elektrische Bremse (f)
3723,純2進3ビット指令式［電気指令式ブレーキの］,binary 3 code command,commande binaire 3 bits (f),binarer 3-Code-Befehl (m)
3724,純ブリッジ［整流の］,simple bridge,pont complet (m),einfache Brucke (f)
3725,順巻き［覆工の］,placing sidewall first,installation de la paroi laterale en premier (f),Setzen der Wande in Reihenfolge (n)
3726,昇圧チョッパー,step-up chopper,hacheur elevateur de tension (m),Aufspannzerhacker (m)
3727,昇圧変圧器［変形ウッドブリッジ結線変圧器の］,step-up transformer,"transformateur elevateur de tension (m), survolteur (m)","Aufspanntransformator (m), Aufwartstransformator (m)"
3728,小運転,operation for short distance inside station（yard）,"course a vide (f), course haut-le-pied (f), parcours a vide (m), parcours haut-le-pied (m)",Betrieb fur kurze Entfernung innerhalb des Bahnhofs (m)
3729,小駅,small station,petite gare (f),"Bahnhof (m), Bahnhofsanlage (f), Station (f)"
3730,省エネルギー運転,energy-saving driving,conduite d’economie d’energie (f),energiesparendes Fahren (n)
3731,障害物検知装置,obstruction detecting device,detecteur d’obstacles (m),Hindernismeldegerat (n)
3732,障害物落下検知器,fall detector,detecteur d’obstacles en chute (m),Falldetektor (m)
3733,蒸気機関車,steam locomotive,locomotive a vapeur (f),Dampflokomotive (f)
3734,蒸気暖房,steam heating,chauffage a vapeur (m),Dampfheizung (f)
3735,蒸気発生装置,"steam generator, steam generating unit",generateur de vapeur (m),"Dampferzeuger (m), Dampfgenerator (m), Dampfkessel (m)"
3736,蒸気ブレーキ,steam brake,frein a vapeur (m),Dampfdruckbremse (f)
3737,乗客定員,passenger capacity,capacite de voyageurs (f),Fahrgastkapazitat (f)
3738,乗客負荷,passenger load,charge de voyageurs (f),Fahrgastbelastung (f)
3739,小径車輪,small diameter wheel,roue de petit diametre (f),"Rad mit kleinem Raddurchmesser (n), Rad mit kleinem Durchmesser (n)"
3740,上下一括き電,simultaneous up and down line feeding,"alimentation mise en parallele de de la voie montante et la voie descendante (f), alimentation mise en parallele de de la voie montante et la voie paire et la voie impaire (f)",gleichzeitige Auf-und-Ab-Leitungsspeisung (f)
3741,衝撃音,impact noise,bruit d’impact (m),Aufschlaglarm (m)
3742,衝撃荷重,"impact load, shock loading, impulsive loading",charge de choc (f),"Stosbelastung (f), Stoslast (f), Schlagbeanspruchung (f)"
3743,衝撃吸収構造,crashworthiness,securite passive contre collision (f),"Kollisionschutzstruktur (f), Kollisionssicherheit (f)"
3744,衝撃振動試験［橋梁の］,impact and vibration test,test de la vibration d’impact (m),Schockvibrationsprufung (f)
3745,上下座屈,vertical buckling,gauchissement vertical (m),"vertikale Knickung (f), vertikale Verwindung (f)"
3746,上下線別異相き電,different phase feeding between up and down line,"alimentation des phases differentielles entre la voie montante et la voie descendante (f), alimentation des phases differentielles entre la voie paire et la voie impaire (f)",differentielle Phasenspeisung zwischen dem Gleis mit gerader Nummer und dem Gleis mit ungerader Nummer (f)
3747,上下タイき電方式,tie feeding system between up and down line,"systeme d’alimentation des cables entre les voies montante et descendante (m), systeme d’alimentation des traverses entre les voies paire et impaire (m)",Fahrdrahtspeisesytem zwischen dem Gleis mit gerader Nummer und dem Gleis mit ungerader Nummer (n)
3748,焼結合金すり板［パンタグラフの］,sintered metal contact strip,frotteur en metal fritte (m),Sintermetallkontaktleiste (f)
3749,焼結合金制輪子,"sintered metal brake shoe, sintered alloy brake shoe","sabot de frein en metal fritte (m), sabot de frein en alliage fritte (m), patin en alliage fritte (m)","Bremsklotzsohle aus Sintermetall (f), Sintermetallbremsklotzsohle (f), Sintermetall-Legierungsbremsklotzsohle (f)"
3750,焼結合金ブレーキライニング,"sintered metal brake pad, sintered alloy brake pad",garniture en metal fritte (f),"Sinterbremsbelag (m), Sintermetall-Bremsbelag (m), Bremsbelag aus Sintermetall (m)"
3751,上下分離,separation of infrastructure and operation,separation de l’infrastructure et de l’exploitation (f),Trennung von Infrastruktur und Bedienung (f)
3752,使用限界状態［構造物の］,serviceability limit state,etat limite de service normal (m),Grenzbrauchbarkeitszustand (m)
3753,条件付き鎖錠,conditional locking,enclenchement conditionnel (m),bedingter Verschlus (m)
3754,乗降場,platform,"quai (m), trottoir (m)","Bahnsteig (m), Perron (m)"
3755,乗降場階段［駅の］,platform stairs（platform steps）,marche de quai (f),Plattformtreppe (f)
3756,乗降場柵,platform barrier,barriere d’acces aux quais (f),Plattformzaun (m)
3757,乗降人員,volumes of entrainment and detrainment,nombre de voyageurs montant et descendant du train (m),abgefertigter Reisende（n）
3758,乗降速度,velocity of getting on and off,vitesse de montee et descente (f),Geschwindigkeit des Einsteigens and Aussteigens (f)
3759,照査器,checker,dispositif de controle (m),Prufer (m)
3760,照査鎖錠,check lock,"controle imperatif de manoeuvre (m), enclenchement de controle imperatif de manoeuvre (m)",Hebelverschlus bis zum Eintreffen der Endlageuberwachung (m)
3761,照査速度,"brake speed, checked speed",verification de la vitesse (f),"Bremsgeschwindigkeit (f), geprufte Geschwindigkeit (f)"
3762,照査速度パターン,"brake pattern, brake profile",modele de verification de la vitesse (m),"Bremsmuster (n), Bremsprofil (n)"
3763,照査てこ,check lever,levier de controle (m),Kontrollhebel (m)
3764,消磁［超電導磁石の］,de-energization,"desexcitation (f), demagnetisation (f)","Entregung (f), Entmagnetisierung (f)"
3765,常時鎖錠,fixed lock,blocage fixe (m),Festverschluss (m)
3766,常時微動,microtremor,micros（e）isme (m),Mikrobeben (m)
3767,乗車客,passenger getting on,passager montant (m),einsteigender Fahrgast (m)
3768,乗車券類,"railway tickets, railroad tickets",billet de train (m),"Billet (n), Eisenbahnfahrkarte (f)"
3769,乗車効率,passenger load factor,facteur de charge des voyageurs (m),Besetzungsgrad (m)
3770,乗車習慣,average usage rate of public transport per resident,utilisation moyenne des transports publics par les residents (f),durchschnittliche Verwendungsrate offentlichen Transportes pro Bewohner (f)
3771,乗車人員,volumes of entrainment,nombre de voyageurs (m),Anzahl der einsteigenden Fahrgaste (f)
3772,乗車密度,number of passengers per vehicle,nombre de voyageurs par voiture (m),Anzahl von Fahrgasten pro Fahrzeug (f)
3773,常時誘導電圧,induced voltage,tension induite normale (f),"induzierte Spannung (f), Umlaufspannung (f)"
3774,小出力機関車,small-power locomotive,locomotive a faible puissance (f),Kleinlokomotive (f)
3775,仕様書,specifications,"specifications (fpl), cahier des charges (m), prescriptions techniques (fpl)","technische Bedingungen (fpl), technische Beschreibung (f), Bauleistungsverzeichnis (n)"
3776,上昇窓［車両の］,raising window,vitre relevable (f),Erhohungsfenster (n)
3777,消雪型上家,snow-melting type shed,hangar type fusion de la neige (m),Schneeschmelzetyp-Schuppen (f)
3778,消雪基地,snow melting base,base de deneigement (f),Schneeschmelzbasis (f)
3779,消雪設備,snow melting equipment,equipement de degel (m),Schneeschmelzeinrichtung (f)
3780,小ゾーン閉そく,minor block zone,zone de blocage mineure (f),Nebenblockzone (f)
3781,状態・機能検査,regular inspection,"revision reguliere (f), visite reguliere (f)","periodische Revision (f), regelmasige Revision (f)"
3782,小断面地下鉄,small section subway,metro a petite section (m),kleines Kreuzflache U-Bahn (f)
3783,畳築,lining,revetement (m),"Wandverkleidung (f), Futter (n)"
3784,常置信号機,fixed signal,"signal fixe (m), signal permanent (m)",ortsfestes Signal (n)
3785,冗長系,redundant system,systeme redondant (m),redundantes System (n)
3786,冗長構成,redundant configuration,configuration redondante (f),redundante Konfiguration (f)
3787,冗長度,redundancy,redondance (f),Redundanz (f)
3788,使用停止［信号機の］,prohibition of signal,hors service de signal,Signalverbot (n)
3789,使用停止制御［電子連動装置の］,use-prohibit control,controle interdisant l’emploi (m),Verwendungs-Verbotssteuerung (f)
3790,常電導磁気浮上,normal conducting magnetic levitation,sustentation magnetique normalement conductible (f),"normalleitendes Magnetkissen (n), normalleitendes Magnetschweben (n)"
3791,常電導状態,normal conducting state,etat conducteur normal (m),normalleitender Zustand (m)
3792,衝突安全性,crashworthiness,capacite de resistance aux impacts (f),"Crashverhalten (n), Aufprallverhalten (n)"
3793,衝突耐久性,crashworthiness,"capacite de resistance au choc (f), capacite de resistance a l’impact (f), comportement en cas de collision (m)",Kollisionschutzverhalten (n)
3794,衝突柱［車両の］,collision post,"montant de choc (m), montant anti-collision (m)","Kollisionsschutzsaule (f), Kollisionsschutzphosten (m)"
3795,場内境界標識,station boundary marker,panneau de limite de gare (m),Stationsgrenzmarke (f)
3796,場内信号機,"home signal, entry signal",signal d’entree (m),Einfahrsignal (n)
3797,小歯車［歯車装置の］,pinion,pignon (m),"Ritzel (m), Trieb (m)"
3798,蒸発量［潤滑剤・グリースの］,evaporation loss,perte due a la vaporisation (d’un lubrifiant ) (f),Verdampfungsverlust (m)
3799,床板［軌道の］,base plate,"plaque de fondation (f), plaque d’appui (f), plaque d’assise (f), selle (f), selle de rail (f)","Grundplatte (f), Unterlagsplatte (f), Schienenunterlagsplatte (f)"
3800,床版［橋梁の］,"floor deck, deck plate, slab, floor slab",plaque de tablier (f),"Bodendeck (n), Deckteller (m), Tafel (f), Bodentafel (f)"
3801,上半［トンネルの］,"top heading, upper section",demi-section superieure (f),"obere Halfte (f), oberer Teil (m)"
3802,小半径曲線,"sharp curve, high degree curve","courbe a forte courbure (f), courbe a petit rayon de courbure (f)","scharfe Kurve (f), Hochgradkurve (f)"
3803,上部構造［構造物の］,superstructure,superstructure (f),Oberbau (m)
3804,上部半断面先進工法,"top heading method, upper half method",excavation et terrassement a partir de la demi-section superieure (f),"Ober-Halb-Teil-Methode, fortgeschrittene Methode der Konstruktion (f)"
3805,上部盛土,upper part embankment,partie superieure du remblai (f),Dammoberteil (m)
3806,消泡剤［潤滑油の］,"antifoamer, antifoaming agent, defoamer, deforming agent",agent antimoussant (m),"Antischaummittel (n), Entschaumer (m), Schaumdampfer (m)"
3807,上方スライド式ドア,upward sliding door,porte coulissant vers le haut (f),Aufwartsbewegungtur (f)
3808,正味熱効率,"net thermal efficiency, brake thermal efficiency",rendement thermique au frein (m),effektive thermische Leistungsfahigkeit (f)
3809,正味燃料消費率,brake specific fuel consumption,consommation de carburant specifique des freins (f),effektiver spezifischer Brennstoffverbrauch (m)
3810,正味ブレーキ率,"net braking rate, actual braking ratio","taux de freinage effectif (m), coefficient de freinage effectif (m)","effektive Bremsbewertungszahl (f), effektive Bremsverhaltnis (n)"
3811,静脈物流,reverse logistics,logistique inverse (f),Reverse Logistik (f)
3812,正味輸送量,net traffic,trafic net (m),Nettoverkehr (m)
3813,乗務員,"crew, driver, conductor","personnel roulant (m), agent de conduite (m), conducteur (m), conducteur-electricien (m), controleur (m), controleur de route (m), garde (m)","Fahrpersonal (n), Zugpersonal (n), Triebfahrzeugbediener (m), Triebfahrzeugfuhrer (m), Ellokfuhrer (m), Zugfuhrer (m), Kondukteur (m), Zugschaffner (m)"
3814,乗務員運用,crew scheduling（rostering）,affectation du personnel roulant (f),Fahrpersonalzuweisung (f)
3815,乗務員運用計画,crew scheduling,programmation du personnel (f),"Mannschaftsplanung (f), Diensteinteilung (f)"
3816,乗務員運用作成システム,support system for crew scheduling,systeme de programmation du service du personnel roulant (m),Unterstutzungssystem fur Mannschaftsplanung (n)
3817,乗務員運用ダイヤ図,drawing for crew scheduling,diagramme de programmation du personnel (m),Diagramm fur Mannschaftsplanung (n)
3818,乗務員運用変更,crew rescheduling,reprogrammation du personnel d’accompagnement (f),Mannschaftsumplanung (f)
3819,乗務員室,"driver’s cab, conductor’s cabin",salle de conduite (f),"Fuhrerstand (m), Zugschaffnerkabine (f), Dienstabteil（n）"
3820,乗務員宿泊所,crew lodging,logement du personnel roulant (m),"Unterkunft fur das Fahrpersonal (f), Dienstabteil（n）"
3821,乗務員無線,crew radio,radio du personnel roulant (f),Funkgerat fur das Fahrpersonal (n)
3822,乗務検査［貨車の］,inspection on driving,inspection de la conduite (f),bahnamtliche Untersuchung auf Fuhren (f)
3823,乗務割,roster,horaire de service (m),Diensteinteilung (f)
3824,乗務割交番,roster for crew,"roulement (m), roulement du personnel de conduite (m)","Diensteinteilung (f), Dienstplan (m), Umlaufplan (m)"
3825,照明軌道盤,illuminated track model,tableau lumineux des voies (m),Leuchtgleismodell (n)
3826,商用軌道回路,commercial frequency track circuit,circuit de voie a frequence commerciale (m),Netzfrequenzgleisstromkreis (m)
3827,商用周波数軌道回路,commercial frequency track circuit,circuit de voie a frequence commerciale (m),Gleisstromkreis mit kommerzieller Frequenz (m)
3828,常用制動距離,service braking distance,distance de freinage de service (f),Betriebsbremsweg (m)
3829,常用の列車保安方式［新幹線の］,regular signaling system（of Shinkansen）,systeme de signalisation normal (du Shinkansen) (m),Regelsignalsystem (des Shinkansens) (n)
3830,常用ブレーキ,"service braking, service brake",freinage de service (m),Betriebsbremsung (f)
3831,常用閉そく方式,regular block system,"bloc-systeme regulier (m), cantonnement regulier (m)","regelmasiges Blocksystem (n), regelmasiger Streckenblock (m)"
3832,使用率［車両の］,utilization rate,taux d’utilisation (m),Nutzungsrate (f)
3833,省力化軌道,"ballastless track, low maintenance track,",voie sans ballast (f),"feste Fahrbahn (f), schotterloser Oberbau (m)"
3834,上路橋,deck bridge,pont a tablier superieur (m),Deckbrucke (f)
3835,上路プレートガーダー,deck plate girder,poutre de tablier superieur (f),Deckplattentrager (m)
3836,初期火災,initial state fire,debut d’incendie (m),Feuerbeginn (m)
3837,初期推進［シールド工法の］,"beginning propulsion, start shove",propulsion forcee (f),"Anfangen von Antrieb (m), Anfangs-Schubse (m)"
3838,初期微動［地震の］,preliminary tremor,secousses preliminaires (f),vorausgehende Erschutterung (f)
3839,触車事故,man-vehicle collision accident,homme-vehicule accident collision (f),Zusammenstosunfall zwischen Mensch und Fahrzeug (m)
3840,食堂車,"dining car, restaurant car, diner（米）",voiture-restaurant (f),Speisewagen (m)
3841,徐行,slowing down,ralentissement (m),"Verlangsamung (f), Herabsetzung der Geschwindigkeit (f), Langsamfahrt (f), Abbremsen（n）"
3842,徐行解除信号機,speed limit termination indicator,indicateur de fin de ralentissement (m),Geschwindigkeitsbegrenzungsschlussanzeiger (m)
3843,徐行信号機,slow speed signal,signal de ralentissement (m),Langsamfahrsignal (n)
3844,徐行予告信号機,slow-speed-notifying signal,"signal d’approche a petite vitesse (m), signal d’approche a faible vitesse (m)",Langsamfahrmeldesignal (n)
3845,除湿装置［圧縮空気の］,"air dryer, desiccant filter unit","secheur d’air (m), dessiccateur (m)","Lufttrockner (m), Trockner (m), Lufttrocknungsanlage (f)"
3846,除錆,"rust removal, derusting","derouillage (m), decapage (m)",Entrostung (f)
3847,除雪,"snow removing work, snow removal","travaux de deneigement (m), deneigement (m), deblaiement de neige (m)","Schneeraumarbeiten (pl), Schneeraumen (n), Schneeraumgerat"
3848,除雪機械,"snow removal machine, snow removal machinery","machine de deneigement (f), machine de chasse-neige (f), engin de chasse-neige (m)",Schneeraumfahrzeug (n)
3849,除雪機関車,"snow removal locomotive, snow removal engine",locomotive de chasse-neige (f),"Schneeraumlokomotive (f), Schneeraumfahrzeug (n)"
3850,除雪組合,snow removal association,union de deneigement (f),Schneeraumvereinigung (f)
3851,除雪支障限界,snowplow clearance,degagement pour chasse-neige (m),Schneepfluggrenze (f)
3852,除雪車支障限界,snowplow clearance,gabarit de libre passage de chasse-neige (m),Schneepflug Randgrenze (f)
3853,除雪車両,"snowplow car, snowplow vehicle",vehicule de deneigement (m),"Schneeraumfahrzeug (n), Schneeschleuder (f)"
3854,除雪設備,"snow removal machine, snow removal machinery",equipement de deneigement (m),"Schneeraummaschine (f), Schneeraummaschinerie (f)"
3855,除雪線区,snow removing section,section de deneigement (f),schneegeraumter Abschnitt (m)
3856,所属区所［車両・乗務員の］,home depot,depot d’attache (m),Heimatdienststelle (f)
3857,暑中コンクリート,hot weather concreting,betonnage par temps chaud (m),Betonierung in heisem Wetter (f)
3858,ショックトルク［ディーゼル車の］,shock torque,couple de choc (m),Stosdrehmoment (n)
3859,ショットクリート［コンクリートの］,shotcrete,beton（m) projete (m),Spritzbeton (m)
3860,ショットピーニング,shot peening,grenaillage (m),"Kugelstrahlen (n), Stahlkiesbestrahlung (f), Stahlkiesstrahlen (n), Stahlputzen (n), Stahlsandblasen (n), Stahlsanden (n), Strahlverfahren mit Stahlgranalien (n)"
3861,ショットブラスト［鋼構造物の］,shot blasting,grenaillage a la grenaille spherique (m),Strahlen mit rundem Stahlkies (n)
3862,ショートベンチ工法［トンネル掘削の］,short bench cut method,abattage en gradin court (m),Kurzbank-Schnittmethode (f)
3863,ショルダー［線ばね形レール締結装置の］,shoulder,conge de raccord de la table de roulement (m),Schienenkopfausrundung (f)
3864,シラス,shirasu,shirasu (m),Shirasu
3865,自力排雪走行,self-snow-plowing run,marche de train en deneigeant (f),Schnee-selbstpflugender Lauf (m)
3866,シリコン整流器,silicon rectifier,redresseur au silicium (m),Siliziumgleichrichter (m)
3867,シリーズハイブリッド［ディーゼル車の］,series electric hybrid system,systeme de serie hybride electrique (m),seriell elektrisches Hybridsystem (n)
3868,自立時間［地盤切取面の］,stand-up time,duree de l’etat stable (f),Unabhangigkeitszeit (f)
3869,自立式ガイドウェイ,self-standing style guideway,systeme de guidage de style autoportante (m),selbst stehende Fuhrungsschiene (f)
3870,シリンダー［エンジンの］,cylinder,cylindre (m),Zylinder (m)
3871,シリンダー配列,cylinder arrangement,"arrangement des cylindres (m), disposition des cylindres (f)",Zylinderanordnung (f)
3872,シリンダーブロック,cylinder block,bloc de cylindre (m),Zylinderblock (m)
3873,シリンダーヘッド,cylinder head,culasse (f),Zylinderkopf (m)
3874,SIL,safety integrity level,niveau d’integrite de securite (m),Sicherheitsintegritatsebene (f)
3875,シール券［定期券の］,sealed ticket for surface protection,ticket scelle (m),versiegelte Fahrkarte fur Oberflachenschutz (f)
3876,シール材［シールドセグメントの］,sealing material,materiel de joint (m),Siegelmaterial (n)
3877,シールド［超電導磁石の］,shield,"bouclier (m), blindage (m), ecran (m), ecran de protection (m)","Schild (m), Schirm (m)"
3878,シールド駅,shield tunnel station,gare souterraine construite par bouclier (f),Schildtunnelstation (f)
3879,シールド工法,shield tunneling method,methode du bouclier (f),"Schildbauweise (f), Schildvortrieb (m)"
3880,シールドトンネル,shield tunnel,souterrain creuse au bouclier (m),Schildtunnel (m)
3881,シールドビーム,sealed beam lamp,phare etanche (m),abgedichtete Strahllampe (f)
3882,指令,"dispatcher, operation commander","dispatcher (m), regulateur (m)","Dispatcher (m), Betriebsfuhrungskommandant (m)"
3883,指令式［代用閉そく方式の］,command-type,"type d’instruction (m), type de commande (m)","Befehlart (f), Steuerbefehlart (f)"
3884,自励式インバーター,selfcommutating inverter,"onduleur a auto-excitation (m), onduleur a commutation automatique (m)","selbst-kommutier Stromrichter (m), selbst-kommutier Umrichter (m), selbstgefuhrter Wechselrichter (m)"
3885,自励式コンバーター,selfcommutating converter,convertisseur a commutation automatique (m),"selbst-kommutier Gleichrichter (m), selbstgefuhrter Stromrichter (m)"
3886,自励式電動機,self-excited motor,moteur a auto-excitation (m),Selbsterregermotor (m)
3887,自励式転流［電力変換装置の］,selfcommutation,commutation forcee (f),"Selbstkommutierung (f), Selbstfuhrung (f)"
3888,自励振動［車両の］,self-induced vibration,"auto-oscillation (f), auto-vibration (f)",selbsterregte Schwingung (f)
3889,指令制御装置［振子車両の］,command controller（of a tilting system）,controleur d’instructions (de systeme d’inclinaison) (m),Befehlskontroller (eines Neigungssystems) (m)
3890,指令伝達システム,command relaying system,systeme de commande (m),Kommandorelaissystem (n)
3891,自連,automatic coupler,"attelage automatique (m), autocoupleur (m)","automatische Kupplung (f), selbsttatige Kupplung (f)"
3892,自連力,coupler force,"force de l’attelage (f), effort sur l’attelage (m)",Kupplungskraft (f)
3893,自連力測定ピン,auto-coupler force measuring pin,"cheville mesurant la force de l’attelage automatique (f), cheville mesurant la force de l’autocoupleur (f)","Stift zur Messung der automatischen Kupplungskraft (m), Stift zur Messung der selbststatigen Kupplungskraft (m)"
3894,仕訳［貨車の］,freight car marshalling,triages des wagons de marchandises (m),"Guterwagenrangieren (n), Gruppenbildung der Wagen (f)"
3895,仕訳線入口,shunting line neck,entree de tiroir de man?uvre (f),Rangierausziehgleis (n)
3896,信越本線熊ノ平駅構内斜面崩壊,slope failure at Kumanotaira station on the Shin-etsu line,rupture de talus a la gare de Kumanodaira sur la ligne Shin-etsu (f),Boschungsbruch im Kumanotaira-Bahnhof auf der Shin-etsu-Linie (m)
3897,真円度［車輪の］,deviation from roundness,deviation de rotondite (f),Abweichung von der Rundheit (f)
3898,真円保持装置［シールド工法の］,"circle retainer, hog rod",appareil de retenir le cercle de l’anneau (m),Vollstandige-Runde Bewahrte Mechanik (f)
3899,震央,epicenter,epicentre (m),Epizentrum (n)
3900,震央距離,epicentral distance,distance de l’epicentre (f),Entfernung des Epizentrums (f)
3901,震央方位,back azimuth,azimut de l’epicentre (m),Epizentrumazimut (m)
3902,新オーストリア式トンネル工法,new Austrian tunneling method,nouvelle methode autrichienne (f),"Neue osterreichische Tunnelbauweise (f), NATM"
3903,進角制御［ディーゼルエンジンの］,timing control,controle du temps d’injection (m),Zeitpunktsteuerung (f)
3904,新幹線,"bullet train, Shinkansen","train a grande vitesse (m), Shinkansen (m), ligne a grande vitesse (f)","Geschosszug (m), Shinkansen (m)"
3905,新幹線運行管理システム,train control system for Shinkansen,systeme de controle des trains pour le Shinkansen (m),Zugsteuerungssystem fur Shinkansen (n)
3906,新幹線駅,Shinkansen station,gare de Shinkansen (f),Shinkansen-Bahnhof (m)
3907,新幹線公害,environmental pollution caused by Shinkansen trains,pollution de l’environnement causee par les trains Shinkansen (f),Umweltverunreinigung verursacht durch Shinkansen-Zuge (f)
3908,新幹線整備五線,five projected Shinkansen lines,cinq lignes de Shinkansen prevues (fpl),funf projektierte Shinkansen-Linien (pl)
3909,新幹線鉄道振動,Shinkansen-induced vibration,vibration du sol induite du Shinkansen (f),vom Shinkansen induzierte Schwingung (f)
3910,新幹線鉄道騒音に係る環境基準,Environmental Quality Standards for Shinkansen Superexpress Railway Noise,normes environnementales pour le bruit du Shinkansen (fpl),Umwelt-Qualitatsstandard fur Shinkansen-Gleisgerausch (m)
3911,新幹線電車の称呼・形式・番号,classification（numbers）of Shinkansen,classement des voitures de Shinkansen (m),Klassifizierung (Nummern) der Shinkansen-Wagen (f)
3912,新幹線列車防護スイッチ,train protection switch of Shinkansen,commutateur de protection de train (m),Zugschutzschalter (m)
3913,人キロ,passenger kilometer,voyageur-kilometre (m),Personenkilometer (m)
3914,真空遮断器,"vacuum circuit breaker, VCB",disjoncteur a vide (m),"Vakuumleistungsschalter (m), Vakuumschalter (m)"
3915,真空遮断器［直流高速度遮断器の］,"high-speed vacuum circuit breaker, HSVCB",disjoncteur de vide a haute vitesse (m)，DVHV (m),"Hochgeschwindigkeits-Vakuum-Leistungsschalter (m), HGVLS (m)"
3916,真空ブレーキ,vacuum brake,frein a vide (m),"Saugluftbremse (f), Vakuumbremse (f)"
3917,真空容器,vacuum vessel,recipient sous vide (m),Vakuumbehalter (m)
3918,シングルアーム形パンタグラフ,single arm pantograph,"pantographe monobranche (m), pantographe unijambiste (m), pantographe a cadre simplifie (m), pantographe a un bras (m)","Einholmstromabnehmer (m), Halbscherenstromabnehmer (m)"
3919,シングルスキン,single skin structure,structure de revetement simple (f),Einhullenstruktur (f)
3920,シングルスリップスイッチ［分岐器の］,"single slip switch, diamond crossing with single slips",traversee-jonction simple (f),einfache Kreuzungsweiche (f)
3921,震源,hypocenter,hypocentre (m),"Hypozentrum (n), der Ort des Hypozentrums（n）"
3922,震源距離,"hypocentral distance, focal distance","distance de l’hypocentre (f), distance du foyer (f), distance focale (f)","Entfernung des Hypozentrums (f), Entfernung des Bebenherdes (f)"
3923,震源深さ,focal depth,"profondeur du foyer (f), profondeur hypocentrale (f)",Tiefe des Bebenherdes (f)
3924,信号,signal,"signal (m), signalisation (f)","Signalisierung (f), Signalsystem (n)"
